Exceedance,Flow,LevelTailwater,LevelHeadpond,1uFlowLeftChannel,1uHeadlossLeftChannel,2uFlowLeftChannel,2uHeadlossLeftChannel,3uFlowLeftChannel,3uHeadlossLeftChannel,4uFlowLeftChannel,4uHeadlossLeftChannel,1uLevelForebay,2uLevelForebay,3uLevelForebay,4uLevelForebay,1uHead,2uHead,3uHead,4uHead,1uEffTurbine,2uEffTurbine,3uEffTurbine,4uEffTurbine,1uPowerPotential,2uPowerPotential,3uPowerPotential,4uPowerPotential
0.0,9912.101075056224,982.3650492787621,990.7789042580134,375.0,0.16649446494464942,650.0,0.2934782608695652,925.0,0.5010358565737052,1200.0,0.8410309278350516,990.5874097930688,990.3954259971438,990.0678684014397,989.4578733301784,7.6874257343067285,7.495441938381717,7.167884342677624,6.5578892714163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,8829.69741814583,981.7705213977329,990.519127380355,375.0,0.16649446494464942,650.0,0.2934782608695652,925.0,0.5010358565737052,1200.0,0.8410309278350516,990.3276329154104,990.1356491194854,989.8080915237813,989.19809645252,8.022176737677526,7.8301929417525145,7.502635346048422,6.892640274787098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,7890.806380622311,981.0888877315309,990.2937935313494,375.0,0.16649446494464942,650.0,0.2934782608695652,925.0,0.5010358565737052,1200.0,0.8410309278350516,990.1022990664047,989.9103152704797,989.5827576747756,988.9727626035143,8.478476554873808,8.286492758948796,7.958935163244703,7.34894009198338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,7005.060692322745,980.2555762443532,990.1695604697107,375.0,0.16649446494464942,650.0,0.2934782608695652,925.0,0.5010358565737052,1200.0,0.8410309278350516,989.9780660047661,989.7860822088411,989.458524613137,988.8485295418757,9.18755498041294,8.995571184487929,8.668013588783836,8.058018517522513,0.7924801066161652,0.0,0.0,0.0,19.24935123562639,0.0,0.0,0.0
0.004,6479.994665675702,979.6482504828284,990.1268689262821,375.0,0.16649446494464942,650.0,0.2934782608695652,925.0,0.5010358565737052,1200.0,0.8410309278350516,989.9353744613375,989.7433906654124,989.4158330697084,988.805837998447,9.752189198509043,9.560205402584032,9.232647806879939,8.622652735618615,0.8083408984704863,0.8030553142366025,0.7937819227998892,0.0,20.841282859343668,40.59480468653061,58.126812066293375,0.0
0.005,6170.049530809099,979.0342701067269,990.1016682172016,375.0,0.16649446494464942,650.0,0.2934782608695652,925.0,0.5010358565737052,1200.0,0.8410309278350516,989.9101737522569,989.7181899563319,989.3906323606278,988.7806372893665,10.340968865530002,10.14898506960499,9.821427473900897,9.211432402639574,0.8238612852856538,0.8189148095180845,0.8102199958377577,0.7931702003865385,22.5238746909308,43.9459757045978,63.11413039225079,77.26473633722307
0.006,5965.180906116669,978.7519733784889,990.0850109639337,375.0,0.16649446494464942,650.0,0.2934782608695652,925.0,0.5010358565737052,1200.0,0.8410309278350516,989.893516498989,989.701532703064,989.3739751073599,988.7639800360986,10.60660834050016,10.414624544575148,10.087066948871055,9.477071877609731,0.8305231605051077,0.8257296801617953,0.8172959031647045,0.800732224024878,23.289279729926076,45.47150051163128,65.38727774773682,80.25077754948836
0.006999999999999999,5828.6919547143225,978.5600884751162,990.0739134567619,375.0,0.16649446494464942,650.0,0.2934782608695652,925.0,0.5010358565737052,1200.0,0.8410309278350516,989.8824189918173,989.6904351958923,989.3628776001882,988.7528825289269,10.787395736701072,10.59541194077606,10.267854345071967,9.657859273810644,0.8349359989533159,0.8302466433617376,0.8219905212191462,0.805757680341206,23.81209324300177,46.513899201462344,66.94151554245899,82.29493281042437
0.008,5687.283313593033,978.3579316927577,990.0624159443784,375.0,0.16649446494464942,650.0,0.2934782608695652,925.0,0.5010358565737052,1200.0,0.8410309278350516,989.8709214794337,989.6789376835087,989.3513800878046,988.7413850165433,10.97805500667603,10.786071210751018,10.458513615046925,9.848518543785602,0.8394835702827887,0.8349040251623446,0.8268352586959684,0.8109513214629532,24.36494191146088,47.61651543029662,68.58639647996549,84.4604636241291
0.009000000000000001,5577.5826571811795,978.1986678965711,990.0534965131075,375.0,0.16649446494464942,650.0,0.2934782608695652,925.0,0.5010358565737052,1200.0,0.8410309278350516,989.8620020481628,989.6700182522378,989.3424606565337,988.7324655852724,11.128399371591698,10.936415575666686,10.608857979962593,9.99886290870127,0.8429926556344672,0.8384997015596405,0.8305786744093626,0.8149698651411188,24.801861097712553,48.48815839189578,69.88732911540576,86.1747302164948
0.01,5513.419393582916,978.1044995528003,990.048279590634,375.0,0.16649446494464942,650.0,0.2934782608695652,925.0,0.5010358565737052,1200.0,0.8410309278350516,989.8567851256894,989.6648013297644,989.3372437340603,988.727248662799,11.217350792889036,11.025366996964024,10.697809401259931,10.087814329998608,0.8450368815821382,0.8405951592018521,0.8327615421926581,0.8173155127101335,25.06073144293086,49.00469739991609,70.65852192584863,87.19158860557712
0.011000000000000001,5396.855655881256,977.931454766927,990.0388021428128,375.0,0.16649446494464942,650.0,0.2934782608695652,925.0,0.5010358565737052,1200.0,0.8410309278350516,989.8473076778681,989.6553238819431,989.327766286239,988.7177712149777,11.380918130941112,11.1889343350161,10.861376739312007,10.251381668050684,0.8487339281433967,0.8443864125984565,0.8367135287612266,0.8215668250887953,25.537397681319042,49.956008855924736,72.07932329721538,89.06622906968644
0.012,5359.201802557596,977.8750008066102,990.0357406209606,375.0,0.16649446494464942,650.0,0.2934782608695652,925.0,0.5010358565737052,1200.0,0.8410309278350516,989.844246156016,989.652262360091,989.3247047643869,988.7147096931255,11.43431056940581,11.242326773480798,10.914769177776705,10.304774106515382,0.8499233598749902,0.8456065957790804,0.8379861792381673,0.8229371829386543,25.693160316147562,50.26692733107922,72.54382376359726,89.67944869313898
0.013,5307.780230671744,977.7974586198943,990.0315596872152,375.0,0.16649446494464942,650.0,0.2934782608695652,925.0,0.5010358565737052,1200.0,0.8410309278350516,989.8400652222706,989.6480814263456,989.3205238306415,988.7105287593802,11.507671822376281,11.31568802645127,10.988130430747177,10.378135359485853,0.8515436918069903,0.8472691802265379,0.8397208537925472,0.8248061075012348,25.907301605900713,50.69441865227549,73.18259011918438,90.52300600234436
