Date,LaggedDate,VicFalls,Conversion,Flow,Exceedance,Year,Month,Day,MonthId,WaterYear,WaterMonth,WaterDay,WaterWeek,Volume,Flow_difference,Flow_difference_pct,EWRRefExceedance,EWRBandNo,EWRBandLabel,EWRChannelA,EWRChannelC,EWRChannelD,EWRChannelE,EWRChannelFG,EWRTotal,EWRProportion,FlowAvailableForGeneration,FlowCanal,LowFlowShutoff,Turbines,FlowTurbine1,FlowTurbine2,FlowTurbine3,FlowTurbine4,FlowSpill,SpillChannelA,SpillChannelC,SpillChannelD,SpillChannelE,SpillChannelFG,FlowChannelA,FlowChannelC,FlowChannelD,FlowChannelE,FlowChannelFG,FlowLeftChannel,LevelTailwater,LevelHeadpond,HeadlossLeftChannel,HeadlossCanal,LevelForebay,HeadlossTurbine1,HeadlossTurbine2,HeadlossTurbine3,HeadlossTurbine4,HeadTurbine1,HeadTurbine2,HeadTurbine3,HeadTurbine4,LowHeadShutoff,LoadFactorTurbine1,LoadFactorTurbine2,LoadFactorTurbine3,LoadFactorTurbine4,EffTurbine1,EffTurbine2,EffTurbine3,EffTurbine4,EffGen1,EffGen2,EffGen3,EffGen4,PowerTurbine1,PowerTurbine2,PowerTurbine3,PowerTurbine4,Power,Energy,PerfMwPerCumec,PotentialPower1u,PotentialPower2u,PotentialPower3u,PotentialPower4u,ExceedanceRnd
1962-10-01,1962-10-12,392.4543,0.9089234971239988,356.71093481735085,0.7040000000000001,1962,10,1,1962.1,1962,1,1,1,0.030819824768219112,6.43142713836869,0.01802980091334127,0.07,1,Wet,44,7,6,3,60,120.0,0.3364068445545254,236.71093481735085,236.71093481735085,,1,236.71093481735085,,,,0.0,0.0,0.0,0.0,0.0,0.0,44.0,7.0,6.0,3.0,60.0,293.7109348173508,965.1835546740867,990.0,0.13949809643380656,0.017342186963470167,989.8431597166028,0.3965400733770051,,,,24.26306496913897,,,,,0.9468437392694034,,,,0.94,,,,0.98,,,,51.902337613336925,,,,51.902337613336925,1245.6561027200864,0.1455025135125528,56.72100892791664,112.91353879524642,167.949174169979,220.1063326303468,0.705
1962-10-02,1962-10-13,374.7305,0.9126410588772004,341.99444031358274,0.721,1962,10,2,1962.1,1962,1,2,1,0.02954831964309355,14.716494503768105,0.04303138521864333,0.07,1,Wet,44,7,6,3,60,120.0,0.3508828970727395,221.99444031358277,221.99444031358277,,1,221.99444031358277,,,,0.0,0.0,0.0,0.0,0.0,0.0,44.0,7.0,6.0,3.0,60.0,278.99444031358274,965.109972201568,990.0,0.13461069973513815,0.01439888806271655,989.850990412202,0.3488237275829691,,,,24.392194483051284,,,,,0.8879777612543309,,,,0.94,,,,0.98,,,,48.93458491028608,,,,48.93458491028608,1174.430037846866,0.1430859076697762,56.819612804777385,113.11846094201664,168.27585359107152,220.5878151211768,0.72
1962-10-03,1962-10-14,374.7305,0.9126410588772004,341.99444031358274,0.721,1962,10,3,1962.1,1962,1,3,1,0.02954831964309355,0.0,0.0,0.07,1,Wet,44,7,6,3,60,120.0,0.3508828970727395,221.99444031358277,221.99444031358277,,1,221.99444031358277,,,,0.0,0.0,0.0,0.0,0.0,0.0,44.0,7.0,6.0,3.0,60.0,278.99444031358274,965.109972201568,990.0,0.13461069973513815,0.01439888806271655,989.850990412202,0.3488237275829691,,,,24.392194483051284,,,,,0.8879777612543309,,,,0.94,,,,0.98,,,,48.93458491028608,,,,48.93458491028608,1174.430037846866,0.1430859076697762,56.819612804777385,113.11846094201664,168.27585359107152,220.5878151211768,0.72
1962-10-04,1962-10-15,374.7305,0.9126410588772004,341.99444031358274,0.721,1962,10,4,1962.1,1962,1,4,1,0.02954831964309355,0.0,0.0,0.07,1,Wet,44,7,6,3,60,120.0,0.3508828970727395,221.99444031358277,221.99444031358277,,1,221.99444031358277,,,,0.0,0.0,0.0,0.0,0.0,0.0,44.0,7.0,6.0,3.0,60.0,278.99444031358274,965.109972201568,990.0,0.13461069973513815,0.01439888806271655,989.850990412202,0.3488237275829691,,,,24.392194483051284,,,,,0.8879777612543309,,,,0.94,,,,0.98,,,,48.93458491028608,,,,48.93458491028608,1174.430037846866,0.1430859076697762,56.819612804777385,113.11846094201664,168.27585359107152,220.5878151211768,0.72
1962-10-05,1962-10-16,374.7305,0.9126410588772004,341.99444031358274,0.721,1962,10,5,1962.1,1962,1,5,1,0.02954831964309355,0.0,0.0,0.07,1,Wet,44,7,6,3,60,120.0,0.3508828970727395,221.99444031358277,221.99444031358277,,1,221.99444031358277,,,,0.0,0.0,0.0,0.0,0.0,0.0,44.0,7.0,6.0,3.0,60.0,278.99444031358274,965.109972201568,990.0,0.13461069973513815,0.01439888806271655,989.850990412202,0.3488237275829691,,,,24.392194483051284,,,,,0.8879777612543309,,,,0.94,,,,0.98,,,,48.93458491028608,,,,48.93458491028608,1174.430037846866,0.1430859076697762,56.819612804777385,113.11846094201664,168.27585359107152,220.5878151211768,0.72
1962-10-06,1962-10-17,374.7305,0.9126410588772004,341.99444031358274,0.721,1962,10,6,1962.1,1962,1,6,1,0.02954831964309355,0.0,0.0,0.07,1,Wet,44,7,6,3,60,120.0,0.3508828970727395,221.99444031358277,221.99444031358277,,1,221.99444031358277,,,,0.0,0.0,0.0,0.0,0.0,0.0,44.0,7.0,6.0,3.0,60.0,278.99444031358274,965.109972201568,990.0,0.13461069973513815,0.01439888806271655,989.850990412202,0.3488237275829691,,,,24.392194483051284,,,,,0.8879777612543309,,,,0.94,,,,0.98,,,,48.93458491028608,,,,48.93458491028608,1174.430037846866,0.1430859076697762,56.819612804777385,113.11846094201664,168.27585359107152,220.5878151211768,0.72
1962-10-07,1962-10-18,374.7305,0.9126410588772004,341.99444031358274,0.721,1962,10,7,1962.1,1962,1,7,1,0.02954831964309355,0.0,0.0,0.07,1,Wet,44,7,6,3,60,120.0,0.3508828970727395,221.99444031358277,221.99444031358277,,1,221.99444031358277,,,,0.0,0.0,0.0,0.0,0.0,0.0,44.0,7.0,6.0,3.0,60.0,278.99444031358274,965.109972201568,990.0,0.13461069973513815,0.01439888806271655,989.850990412202,0.3488237275829691,,,,24.392194483051284,,,,,0.8879777612543309,,,,0.94,,,,0.98,,,,48.93458491028608,,,,48.93458491028608,1174.430037846866,0.1430859076697762,56.819612804777385,113.11846094201664,168.27585359107152,220.5878151211768,0.72
1962-10-08,1962-10-19,374.7305,0.9126410588772004,341.99444031358274,0.721,1962,10,8,1962.1,1962,1,8,2,0.02954831964309355,0.0,0.0,0.07,1,Wet,44,7,6,3,60,120.0,0.3508828970727395,221.99444031358277,221.99444031358277,,1,221.99444031358277,,,,0.0,0.0,0.0,0.0,0.0,0.0,44.0,7.0,6.0,3.0,60.0,278.99444031358274,965.109972201568,990.0,0.13461069973513815,0.01439888806271655,989.850990412202,0.3488237275829691,,,,24.392194483051284,,,,,0.8879777612543309,,,,0.94,,,,0.98,,,,48.93458491028608,,,,48.93458491028608,1174.430037846866,0.1430859076697762,56.819612804777385,113.11846094201664,168.27585359107152,220.5878151211768,0.72
1962-10-09,1962-10-20,374.7305,0.9126410588772004,341.99444031358274,0.721,1962,10,9,1962.1,1962,1,9,2,0.02954831964309355,0.0,0.0,0.07,1,Wet,44,7,6,3,60,120.0,0.3508828970727395,221.99444031358277,221.99444031358277,,1,221.99444031358277,,,,0.0,0.0,0.0,0.0,0.0,0.0,44.0,7.0,6.0,3.0,60.0,278.99444031358274,965.109972201568,990.0,0.13461069973513815,0.01439888806271655,989.850990412202,0.3488237275829691,,,,24.392194483051284,,,,,0.8879777612543309,,,,0.94,,,,0.98,,,,48.93458491028608,,,,48.93458491028608,1174.430037846866,0.1430859076697762,56.819612804777385,113.11846094201664,168.27585359107152,220.5878151211768,0.72
1962-10-10,1962-10-21,366.0613,0.9174101485614996,335.8283516156156,0.732,1962,10,10,1962.1,1962,1,10,2,0.029015569579589187,6.1660886979671545,0.018360834242562026,0.07,1,Wet,44,7,6,3,60,120.0,0.35732539978444205,215.8283516156156,215.8283516156156,,1,215.8283516156156,,,,0.0,0.0,0.0,0.0,0.0,0.0,44.0,7.0,6.0,3.0,60.0,272.8283516156156,965.079141758078,990.0,0.13256292120075794,0.01316567032312312,989.8542714084763,0.3297348981819824,,,,24.445394752216092,,,,,0.8633134064624624,,,,0.94,,,,0.98,,,,47.67914789981192,,,,47.67914789981192,1144.299549595486,0.1419747548723486,56.86048299119939,113.20344828646358,168.41145718956014,220.78794924339385,0.73
