ModelName,OutputPrefix,Description,EWRCatSet,TailwaterLift,HeadpondLift,Capacity,MinimumHead,MinimumFlowUnit,FixedTailwater,UnitsAvailable,RatedDischarge,RatedHead,RatedTurbineEfficiency,RatedGeneratorEfficiency,MaximumLoadFactor,OptimiseTurbines,RatedPower,Mean,P95,P90,P75,P50,P25,P10,P5,StDev,CoefVar,Max,Min,CapFactor,CalYearMean,CalYearStDev,CalYearCoefVar,AutoCorrel,Power_max,CapFactor_Power_max,Power_Turbine1_max,P95FirmPower,P90FirmPower
Base Case,base,Base Case,Recommendation 1,0.0,0.0,180,10,50,0,4,250,21.7,0.943,0.98,1.1,0,49.182037695,837965.8088122458,721588.0440061875,755045.1354926452,798993.2903667009,842590.7748056229,881037.1091077937,930860.6374354613,965750.6692663606,81817.00691453723,0.09763764351018897,1028049.2614990202,504539.4064579913,0.5314344297388673,837784.9815874241,77106.91965769956,0.09203664586061017,,194.6887810867681,0.49123300501383277,60.735382208149936,25.716674905631294,30.20584903159763
MW162,mw162,Capacity reduced to 162MW,Recommendation 1,0.0,0.0,162,10,45,0,4,225,21.7,0.943,0.98,1.1,0,44.26383393,816130.9235,715290.9725,747288.8537,781346.8853,818005.5323,862626.9792,895400.6051,933041.3424,74942.51134,0.09182658,994149.8195,507755.0519,0.575096485,816031.2786,70697.40472,0.086635655,,181.8042389,0.512387698,55.15388297,,
Headpond50cm,head50,Headpond level increased by 50cm,Recommendation 1,0.0,0.5,180,10,50,0,4,250,21.7,0.943,0.98,1.1,0,49.1820377,864947.6074,737922.113,777518.6736,821904.6356,870232.5503,915499.5839,957234.9499,992185.859,84695.88741,0.097920252,1055123.798,515303.3138,0.5485461739999999,864793.187,80933.50087999999,0.093587117,,199.6579822,0.49444896899999996,61.98863622,,
EWRAllCs,allcs,All river reaches at a C rather than B environmental assurance level,All Cs,0.0,0.0,180,10,50,0,4,250,21.7,0.943,0.98,1.1,0,49.1820377,865745.8420000001,753947.2191,783750.1166,829236.2108,868599.152,909948.0612,957352.8888,995037.4098,81352.84359,0.093968506,1057489.207,536263.9239,0.549052411,865578.8933,76548.90226,0.088436655,,195.7997959,0.504650046,60.79501406,,
Extend Head,extendhead,Minimum head reduce from 10m to 9m,Recommendation 1,0.0,0.0,180,9,50,0,4,250,21.7,0.943,0.98,1.1,0,49.1820377,842793.0658,721588.0440000001,756333.8356,807182.132,846278.8773,889851.6789,930860.6374,965750.6693,81343.09886,0.09651609900000001,1028049.2609999999,504539.4065,0.534495856,842662.0041,77822.86623,0.092353596,,194.6887811,0.494092634,60.73538221,26.73353579,30.70834945
Tailwater Rise 50cm,tailup50,Tailwater curve raised by 50cm,Recommendation 1,0.5,0.0,180,10,50,0,4,250,21.7,0.943,0.98,1.1,0,49.1820377,811165.5683,704667.305,736717.9366,772356.6136,814429.6227,849447.0508,904108.3491,938920.4795,78845.53876,0.097200303,1000536.44,493572.3303,0.514437829,810961.821,73535.29067,0.09067663699999999,,189.7195799,0.487959916,59.48212819,,
Tailwater Fall 50cm,taildown50,Tailwater curve dropped by 50cm,Recommendation 1,-0.5,0.0,180,10,50,0,4,250,21.7,0.943,0.98,1.1,0,49.1820377,864947.6074,737922.113,777518.6736,821904.6356,870232.5503,915499.5839,957234.9499,992185.859,84695.88741,0.097920252,1055123.798,515303.3138,0.5485461739999999,864793.187,80933.50087999999,0.093587117,,199.6579822,0.49444896899999996,61.98863622,,
BaseOptimise,base_optimise,Base Case with turbine optimisation,Recommendation 1,0.0,0.0,180,10,50,0,4,250,21.7,0.943,0.98,1.1,1,,,,,,,,,,,,,,,,,,,,,,,
MW225,mw225,Capacity increased to 225MW,Recommendation 1,0.0,0.0,225,10,50,0,5,250,21.7,0.943,0.98,1.1,0,49.1820377,713068.6793,628481.7946,638321.7913,663935.1201,711145.2321,756606.4862,806668.5206,823680.1144,67054.3823,0.094036359,886170.7865,504539.4065,0.361780152,713009.0897,60036.857260000004,0.08420209199999999,,194.6887811,0.418070991,60.73538221,23.29150439,28.844098300000002
MW270,mw270,Capacity increased to 270MW,Recommendation 1,0.0,0.0,270,10,50,0,6,250,21.7,0.943,0.98,1.1,0,,,,,,,,,,,,,,,,,,,194.6887811,0.49122151700000005,60.73538221,25.71667491,30.20584903
MW315,mw315,Capacity increased to 315MW,Recommendation 1,0.0,0.0,315,10,50,0,7,250,21.7,0.943,0.98,1.1,0,,,,,,,,,,,,,,,,,,,,,,,
MW360,mw360,Capacity increased to 360MW,Recommendation 1,0.0,0.0,360,10,50,0,8,250,21.7,0.943,0.98,1.1,0,,,,,,,,,,,,,,,,,,,,,,,
