,Date,LaggedDate,VicFalls,Conversion,Flow,Exceedance,Year,Month,Day,MonthId,WaterYear,WaterMonth,WaterDay,WaterWeek,Volume,Flow_difference,EWRRefExceedance,EWRBandNo,EWRBandLabel,EWRChannelA,EWRChannelC,EWRChannelD,EWRChannelE,EWRChannelFG,EWRTotal,EWRProportion,FlowCanal,FlowSpill,SpillChannelA,SpillChannelC,SpillChannelD,SpillChannelE,SpillChannelFG,FlowChannelA,FlowChannelC,FlowChannelD,FlowChannelE,FlowChannelFG,FlowLeftChannel,Turbines,FlowTurbine1,FlowTurbine2,FlowTurbine3,FlowTurbine4,LevelTailwater,LevelHeadpond,HeadlossLeftChannel,HeadlossCanal,LevelForebay,HeadlossTurbine1,HeadlossTurbine2,HeadlossTurbine3,HeadlossTurbine4,HeadTurbine1,HeadTurbine2,HeadTurbine3,HeadTurbine4,EffTurbine1,EffTurbine2,EffTurbine3,EffTurbine4,LoadFactorTurbine1,LoadFactorTurbine2,LoadFactorTurbine3,LoadFactorTurbine4,EffGen1,EffGen2,EffGen3,EffGen4,PowerTurbine1,PowerTurbine2,PowerTurbine3,PowerTurbine4,Power,Energy,PerfMwPerCumec,ExceedanceRnd
7670,1945-10-01,1945-10-12,227.8423,0.9755995102100816,222.2828362851385,0.922,1945,10,1,1945.1,1945,1,1,1,0.01920523705503596,2.388210579599729,0.7000000000000001,4,Mod_Dry,31,4,3,2,33,73,0.3284104216951665,149.2828362851385,0.0,0.0,0.0,0.0,0.0,0.0,31.0,4.0,3.0,2.0,33.0,187.2828362851385,1,149.2828362851385,,,,964.7155282950152,990.0,0.10373278509720628,0.004928283628513851,989.8913389312744,0.15769207970524216,,,,25.018118556553894,,,,0.92,,,,0.5971313451405539,,,,0.97,,,,32.69588468879781,,,,32.69588468879781,784.7012325311473,0.14709135997732367,0.92
7671,1945-10-02,1945-10-13,227.8423,0.9755995102100816,222.2828362851385,0.922,1945,10,2,1945.1,1945,1,2,1,0.01920523705503596,0.0,0.7000000000000001,4,Mod_Dry,31,4,3,2,33,73,0.3284104216951665,149.2828362851385,0.0,0.0,0.0,0.0,0.0,0.0,31.0,4.0,3.0,2.0,33.0,187.2828362851385,1,149.2828362851385,,,,964.7155282950152,990.0,0.10373278509720628,0.004928283628513851,989.8913389312744,0.15769207970524216,,,,25.018118556553894,,,,0.92,,,,0.5971313451405539,,,,0.97,,,,32.69588468879781,,,,32.69588468879781,784.7012325311473,0.14709135997732367,0.92
7672,1945-10-03,1945-10-14,227.8423,0.9755995102100816,222.2828362851385,0.922,1945,10,3,1945.1,1945,1,3,1,0.01920523705503596,0.0,0.7000000000000001,4,Mod_Dry,31,4,3,2,33,73,0.3284104216951665,149.2828362851385,0.0,0.0,0.0,0.0,0.0,0.0,31.0,4.0,3.0,2.0,33.0,187.2828362851385,1,149.2828362851385,,,,964.7155282950152,990.0,0.10373278509720628,0.004928283628513851,989.8913389312744,0.15769207970524216,,,,25.018118556553894,,,,0.92,,,,0.5971313451405539,,,,0.97,,,,32.69588468879781,,,,32.69588468879781,784.7012325311473,0.14709135997732367,0.92
7673,1945-10-04,1945-10-15,224.6649,0.98159746285063,220.53049583159046,0.9259999999999999,1945,10,4,1945.1,1945,1,4,1,0.01905383483984941,1.7523404535480438,0.7000000000000001,4,Mod_Dry,31,4,3,2,33,73,0.3310199785509344,147.53049583159046,0.0,0.0,0.0,0.0,0.0,0.0,31.0,4.0,3.0,2.0,33.0,185.53049583159046,1,147.53049583159046,,,,964.7139035738527,990.0,0.103135396306224,0.004753049583159046,989.8921115541106,0.15400184418342205,,,,25.02420613607433,,,,0.92,,,,0.5901219833263618,,,,0.97,,,,32.319949974908546,,,,32.319949974908546,775.678799397805,0.1465554677734452,0.93
7674,1945-10-05,1945-10-16,224.6649,0.98159746285063,220.53049583159046,0.9259999999999999,1945,10,5,1945.1,1945,1,5,1,0.01905383483984941,0.0,0.7000000000000001,4,Mod_Dry,31,4,3,2,33,73,0.3310199785509344,147.53049583159046,0.0,0.0,0.0,0.0,0.0,0.0,31.0,4.0,3.0,2.0,33.0,185.53049583159046,1,147.53049583159046,,,,964.7139035738527,990.0,0.103135396306224,0.004753049583159046,989.8921115541106,0.15400184418342205,,,,25.02420613607433,,,,0.92,,,,0.5901219833263618,,,,0.97,,,,32.319949974908546,,,,32.319949974908546,775.678799397805,0.1465554677734452,0.93
7675,1945-10-06,1945-10-17,221.5156,0.969471677754902,214.75310038088367,0.9329999999999999,1945,10,6,1945.1,1945,1,6,1,0.01855466787290836,5.777395450706706,0.7000000000000001,4,Mod_Dry,31,4,3,2,33,73,0.33992524378240885,141.7531003808837,0.0,0.0,0.0,0.0,0.0,0.0,31.0,4.0,3.0,2.0,33.0,179.75310038088367,1,141.7531003808837,,,,964.7095807268092,990.0,0.10116582967530124,0.0041753100380883664,989.8946588602864,0.1421406731169805,,,,25.04293746036032,,,,0.91,,,,0.5670124015235347,,,,0.97,,,,30.73972439075291,,,,30.73972439075291,737.7533853780698,0.1431398398264485,0.93
7676,1945-10-07,1945-10-18,221.5156,0.969471677754902,214.75310038088367,0.9329999999999999,1945,10,7,1945.1,1945,1,7,1,0.01855466787290836,0.0,0.7000000000000001,4,Mod_Dry,31,4,3,2,33,73,0.33992524378240885,141.7531003808837,0.0,0.0,0.0,0.0,0.0,0.0,31.0,4.0,3.0,2.0,33.0,179.75310038088367,1,141.7531003808837,,,,964.7095807268092,990.0,0.10116582967530124,0.0041753100380883664,989.8946588602864,0.1421406731169805,,,,25.04293746036032,,,,0.91,,,,0.5670124015235347,,,,0.97,,,,30.73972439075291,,,,30.73972439075291,737.7533853780698,0.1431398398264485,0.93
7677,1945-10-08,1945-10-19,218.3943,0.9709568849264008,212.05144921368182,0.9359999999999999,1945,10,8,1945.1,1945,1,8,2,0.01832124521206211,2.7016511672019305,0.7000000000000001,4,Mod_Dry,31,4,3,2,33,73,0.34425607686575505,139.05144921368182,0.0,0.0,0.0,0.0,0.0,0.0,31.0,4.0,3.0,2.0,33.0,177.05144921368182,1,139.05144921368182,,,,964.7081305219467,990.0,0.100244812231937,0.003905144921368183,989.8958500428466,0.13675491006904106,,,,25.050964610830878,,,,0.91,,,,0.5562057968547273,,,,0.97,,,,30.163525957794274,,,,30.163525957794274,723.9246229870625,0.14224626178998115,0.94
7678,1945-10-09,1945-10-20,212.2351,0.9734329677943336,206.59664326312716,0.942,1945,10,9,1945.1,1945,1,9,2,0.017849949977934185,5.454805950554658,0.7000000000000001,4,Mod_Dry,31,4,3,2,33,73,0.3533455280153085,133.59664326312716,0.0,0.0,0.0,0.0,0.0,0.0,31.0,4.0,3.0,2.0,33.0,171.59664326312716,1,133.59664326312716,,,,964.7063880949272,990.0,0.0983852192942479,0.0033596643263127165,989.8982551163792,0.12619304417908753,,,,25.06567397727305,,,,0.91,,,,0.5343865730525087,,,,0.97,,,,28.997266956995343,,,,28.997266956995343,695.9344069678882,0.14035691238247094,0.94
7679,1945-10-10,1945-10-21,209.197,0.9663848551669614,202.1648125463628,0.946,1945,10,10,1945.1,1945,1,10,2,0.017467039804005744,4.4318307167643525,0.7000000000000001,4,Mod_Dry,31,4,3,2,33,73,0.3610915227063008,129.1648125463628,0.0,0.0,0.0,0.0,0.0,0.0,31.0,4.0,3.0,2.0,33.0,167.1648125463628,1,129.1648125463628,,,,964.7062133951467,990.0,0.09687436791353277,0.0029164812546362807,989.9002091508321,0.11791950130424407,,,,25.07607625438089,,,,0.91,,,,0.5166592501854512,,,,0.97,,,,28.046968955979125,,,,28.046968955979125,673.1272549434989,0.13873318804946366,0.95
