WaterMonth,MonthName,Month,Flow_min,Flow_mean,Flow_median,Flow_max,Flow_std,Flow_coefvar,Flow_difference_median,Flow_difference_mean,Flow_P95,Flow_P90,Flow_P75,Flow_P50,Flow_P25,Flow_P10,Flow_P05
1,Oct,10,134.21486194034347,240.45231084775938,227.9974360734733,476.8498537735839,58.753130849372454,24.4,0.4435811598325756,2.0398099882415472,160.75732978365988,172.46316097887183,202.49411788852,228.26059114921668,276.84515205346736,309.3390522914923,343.86324881651825
2,Nov,11,136.42636502888925,276.63742508980994,258.13845413202347,663.943466896229,80.25408845094135,29.0,2.6411788807838548,4.248738494294158,179.29013044569027,202.47983552617796,223.16273492817578,266.60387393378994,310.1393891363018,376.35177371480705,410.3391539611168
3,Dec,12,189.4415988150637,433.24787508846424,404.8242870084652,1146.5695781734614,142.62764807458694,32.9,5.4442778414867234,8.763367102013644,288.51157268124945,308.42320203022336,344.79132785164984,402.18358410068174,508.38054587339104,569.9760332046025,700.4865540983208
4,Jan,1,274.56399362840483,725.4029914809032,642.5299388881682,3878.779701108037,342.67445643638746,47.2,8.852724540503687,16.189479948205324,442.9287709451163,478.5338395455497,547.5898890103513,632.7166328388637,825.4674769486223,999.6553263258039,1308.0475130690681
5,Feb,2,388.4979798476216,1355.1435316673426,963.8787393868834,9912.101075056224,1156.4751672276684,85.3,14.245630908032354,34.42049439919015,642.1769805277145,695.1455075984722,827.4203171715642,991.3606554259592,1437.4738019800575,2430.5234352075295,3188.201287320211
6,Mar,3,514.8470775482588,2543.016796267,2181.9233591234583,9508.124796217227,1654.4833059423138,65.1,27.00272338149614,55.89187120142745,857.9596402308696,916.5598864718534,1193.5082408345095,2350.538497435736,3177.664194838577,4433.549176400123,5642.03125385485
7,Apr,4,705.9668484851785,2988.165995055688,2963.306816341821,8507.274690431826,1377.1107142998826,46.1,23.067929137287138,36.12525477496345,1068.8234408935568,1259.100492681051,1912.0724589991175,2962.148565340436,4014.3902319688377,4743.372546475446,5145.84121040434
8,May,5,417.79209314371536,2242.3235328743804,2141.4373750369728,5686.865285567599,959.3001959491576,42.8,31.536646760804615,35.600121777120265,922.7084362338562,1134.5291087183846,1679.686792214807,2251.580327843291,2686.4913506136836,3351.687590153889,3869.161260974412
9,Jun,6,274.56399362840483,1216.4761425460526,1146.5695781734614,3943.549770471004,557.0118571257752,45.8,26.736914732792002,29.55934937138938,453.51684439763494,646.0762290838237,864.271630517366,1186.311958101234,1483.1640325839137,1827.8555107926973,2091.334224115819
10,Jul,7,222.60840809988187,600.5407140214884,542.9401072877282,1861.476158251186,244.07568255702512,40.6,8.810636744253657,11.787290816679336,329.57031256826235,371.8616212178848,451.6141557672446,552.1285869155355,718.1853583288334,882.3034246156394,1028.433819592479
11,Aug,8,175.2166749693341,388.1027478471794,369.2475351019857,915.8657086038969,106.51347708526922,27.4,3.4704084432426043,4.271184532942833,255.064695086125,283.1206723869018,318.1402742603317,370.6790485936598,447.67572585286973,521.0358872897464,551.3868153617702
12,Sep,9,136.43449701999072,289.5257867217427,278.94434036067554,560.6291114137188,70.52386240090999,24.4,2.1472944124026583,2.60879572839069,199.59426295823093,218.60467453474607,241.16354796280993,279.77815590203886,328.78523431967994,375.15596773793106,409.9792565923667
