ModelName,OutputPrefix,Description,EWRCatSet,TailwaterLift,HeadpondLift,Capacity,MinimumHead,MaximumHead,MaxHeadShutdown,MinimumFlowUnit,MaximumFlowUnit,UnitsAvailable,RatedFlowUnit,RatedTurbineCapacity,MaxGeneratorOutput,OptimiseTurbines,SinoHillchart,SinoHeadlosses,Mean,P95,P90,P75,P50,P25,P10,P5,StDev,CoefVar,Max,Min,CapFactor,CalYearMean,CalYearStDev,CalYearCoefVar,AutoCorrel,Power_max,CapFactor_Power_max,Power_Turbine1_max,P95FirmPower,P90FirmPower
Base Case,base,Base Case,Recommendation 1,0.0,0.0,180,10.0,100.0,0.0,50.0,275.0,4,250.0,49.1,100.0,0,0,0,831473.4688,717308.7131,750721.8469,790573.06,837266.822,871516.8475,923342.5817,959498.9946,82351.99582,0.099043444,1019891.176,492308.1149,0.527317015,831543.7514,78304.8923,0.094168097,,194.5213769,0.48799308,60.45653253,,
Base Case Tender,base_tender,Base Case as provided to EPC Tender candidates,Recommendation 1,0.0,0.0,180,10.0,25.4,0.0,50.0,275.0,4,220.0,49.1,48.2,1,0,0,826764.8428101394,712991.1547998117,747145.822623959,789699.4536018432,831504.4546690946,868227.9715425404,917740.7909561737,953598.0437808316,81747.80813704079,0.09887673483935695,1013753.8861400404,489219.5771716952,0.5243308236999868,826822.4534554522,77688.65863755388,0.09396050907045136,,192.8,0.4895545893344489,49.85100286250081,25.944706853477413,29.806786603030535
Base Case Tender - Shutdown,base_tender_shutdown,Base Case as provided to EPC Tender candidates,Recommendation 1,0.0,0.0,180,10.0,25.4,1.0,50.0,275.0,4,250.0,49.1,48.2,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Base Case Tender - Uncapped,base_tender_uncapped,,Recommendation 1,0.0,0.0,180,10.0,25.4,,50.0,275.0,4,250.0,49.1,100.0,0,0,0,,,,,,,,,,,,,,,,,,194.2797832,0.491236489,61.47505653,26.88245444,30.60732049
Headpond50cm,head50,Headpond level increased by 50cm,Recommendation 1,0.0,0.5,180,10.0,25.4,,50.0,275.0,4,250.0,49.1,48.2,0,0,0,,,,,,,,,,,,,,,,,,192.8,0.502632172,62.77661837,26.94471221,30.85943785
EWRAllCs,allcs,All river reaches at a C rather than B environmental assurance level,All Cs,0.0,0.0,180,10.0,25.4,,50.0,275.0,4,250.0,49.1,48.2,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Extend Head,extendhead,Minimum head reduce from 10m to 9m,Recommendation 1,0.0,0.0,180,9.0,25.4,,50.0,275.0,4,250.0,49.1,48.2,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Tailwater Rise 50cm,tailup50,Tailwater curve raised by 50cm,Recommendation 1,0.5,0.0,180,10.0,25.4,,50.0,275.0,4,250.0,49.1,48.2,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Tailwater Fall 50cm,taildown50,Tailwater curve dropped by 50cm,Recommendation 1,-0.5,0.0,180,10.0,25.4,,50.0,275.0,4,250.0,49.1,48.2,0,0,0,,,,,,,,,,,,,,,,,,,,,,
MW162,mw162,Capacity reduced to 162MW,Recommendation 1,0.0,0.0,162,10.0,25.4,,45.0,247.5,4,225.0,37.1,48.2,0,0,0,828289.359,,,,834088.6647,,,,,,,,,,,,,,,,,
MW225,mw225,Capacity increased to 225MW,Recommendation 1,0.0,0.0,225,10.0,25.4,,62.5,343.8,4,312.5,51.6,48.2,0,0,0,,,,,,,,,,,,,,,,,,,,,,
MW270,mw270,Capacity increased to 270MW,,0.0,0.0,270,10.0,25.4,,75.0,412.5,4,375.0,61.9,48.2,0,0,0,,,,,,,,,,,,,,,,,,,,,,
MW315,mw315,Capacity increased to 315MW,,0.0,0.0,315,10.0,25.4,,87.5,481.3,4,437.5,72.2,48.2,0,0,0,,,,,,,,,,,,,,,,,,,,,,
MW360,mw360,Capacity increased to 360MW,,0.0,0.0,360,10.0,25.4,,100.0,550.0,4,500.0,82.5,48.2,0,0,0,,,,,,,,,,,,,,,,,,,,,,
SinoBase,sino,Parameters provided by Sinohydro in their bid submission,Recommendation 1,0.0,0.0,180,10.0,25.4,1.0,50.0,275.0,4,250.0,46.5,48.2,1,1,1,,,,,,,,,,,,,,,,,,192.8,0.502801611,61.9626373,27.54040349,31.34660174
SinoExtended,sinoextended,Parameters provided by Sinohydro with extended minimum head,Recommendation 1,0.0,0.0,180,7.8,25.4,1.0,50.0,275.0,4,250.0,46.5,48.2,1,1,1,,,,,,,,,,,,,,,,,,,,,,
