Date,Flow
1924-10-01,111.4075
1924-10-02,111.4075
1924-10-03,111.4075
1924-10-04,111.4075
1924-10-05,111.4075
1924-10-06,111.4075
1924-10-07,111.4075
1924-10-08,111.4075
1924-10-09,111.4075
1924-10-10,111.4075
1924-10-11,111.4075
1924-10-12,111.4075
1924-10-13,111.4075
1924-10-14,111.4075
1924-10-15,111.4075
1924-10-16,111.4075
1924-10-17,111.4075
1924-10-18,111.4075
1924-10-19,111.4075
1924-10-20,111.4075
1924-10-21,122.2253
1924-10-22,124.4861
1924-10-23,124.4861
1924-10-24,126.7731
1924-10-25,125.9621
1924-10-26,125.9621
1924-10-27,125.9621
1924-10-28,125.9621
1924-10-29,125.9621
1924-10-30,125.9621
1924-10-31,125.9621
1924-11-01,128.2452
1924-11-02,130.5542
1924-11-03,132.8892
1924-11-04,137.6377
1924-11-05,138.7421
1924-11-06,138.7421
1924-11-07,138.7421
1924-11-08,138.7421
1924-11-09,138.7421
1924-11-10,143.6034
1924-11-11,145.3508
1924-11-12,143.6034
1924-11-13,143.6034
1924-11-14,143.6034
1924-11-15,143.6034
1924-11-16,145.3508
1924-11-17,145.3508
1924-11-18,145.3508
1924-11-19,156.7974
1924-11-20,156.7974
1924-11-21,158.5418
1924-11-22,166.2646
1924-11-23,169.1933
1924-11-24,175.0438
1924-11-25,175.0438
1924-11-26,179.8265
1924-11-27,185.7787
1924-11-28,191.2194
1924-11-29,191.2194
1924-11-30,191.2194
1924-12-01,193.2747
1924-12-02,192.8953
1924-12-03,199.0926
1924-12-04,202.1648
1924-12-05,224.6711
1924-12-06,243.2797
1924-12-07,249.7993
1924-12-08,249.7993
1924-12-09,246.1955
1924-12-10,249.7993
1924-12-11,261.3829
1924-12-12,266.7860
1924-12-13,270.2623
1924-12-14,271.2725
1924-12-15,266.7860
1924-12-16,270.2623
1924-12-17,273.7644
1924-12-18,283.6080
1924-12-19,281.3180
1924-12-20,283.6080
1924-12-21,281.3180
1924-12-22,281.3180
1924-12-23,281.3180
1924-12-24,283.6080
1924-12-25,294.7233
1924-12-26,306.0202
1924-12-27,325.6608
1924-12-28,350.2192
1924-12-29,344.6194
1924-12-30,377.1168
1924-12-31,440.0331
1925-01-01,417.8578
1925-01-02,462.5651
1925-01-03,556.2195
1925-01-04,562.8281
1925-01-05,556.2195
1925-01-06,516.7729
1925-01-07,512.1178
1925-01-08,516.7729
1925-01-09,527.3376
1925-01-10,532.5192
1925-01-11,562.8281
