Month,Energy,Value,Price,NightEnergy,MorningEnergy,StandardEnergy,EveningEnergy,NightValue,MorningValue,StandardValue,EveningValue,MorningEnergyTransfer,EveningEnergyTransfer
1.0,83903.03708247453,5.357715307118106,64.37169869127801,28864.256384997312,16583.222034676375,27311.650120571867,11143.908542228957,1.026444145558547,1.2714232115094724,1.9753559520210795,1.0844919980290066,6095.342399367064,4151.988785356081
2.0,98181.9560505272,6.268085546759899,64.41286095646576,38382.75178873474,14799.141071967495,35054.812880513906,9945.250309311068,1.3647213096124982,1.195256587295437,2.6566067710222865,1.0515008788296778,2526.396565651596,1763.4206384337992
3.0,103752.60162257623,5.995014463261223,58.46296703561352,42954.81868314171,13855.369433567825,38498.34632550172,9571.812850175595,1.375200591284913,1.0651478714278912,2.5983338106145877,0.956332189933828,745.3260220194608,831.7839091433552
4.0,98323.75179646547,5.740601324944982,58.29061402116025,41243.01975784109,12594.57803288661,37002.69966896277,8552.19076934527,1.2946728990491732,0.9811016356469046,2.566312247544566,0.8985145427043382,170.51700425713997,269.4834169256282
5.0,114093.64032831292,6.988330373734766,61.332285692034176,47068.41411261045,14732.307731892368,42437.188439874684,9855.73004393537,1.5432430995850108,1.2379676909002961,3.0969945196638715,1.110125063585585,470.60269085325143,347.9266832426341
6.0,105046.46966839532,8.30864150440486,79.66570566686195,41387.56066634355,15512.610404037227,37756.629057458376,10389.669540556137,1.6503555960712675,1.888170604872895,3.3217839612425797,1.448331342218119,2381.801695487815,1635.7970681898585
7.0,60456.620121429914,5.60083193220179,92.45927750796864,20225.47209287768,12521.86380623019,18936.41886061175,8772.865361710295,0.8728374725219117,1.656585489541535,1.7855956395807977,1.2858133305575457,4964.7862910514505,3734.813684924469
8.0,36940.20307994816,3.1038089599288594,82.86215348909164,14359.419040318173,5649.857627987084,12985.685473998867,3945.2409376440405,0.5804107332806618,0.7338138564475559,1.1998538012425721,0.5897305689580692,1032.332242993564,866.8906809816928
9.0,26741.073843113958,1.8518537634585421,68.91995456770144,10960.190325593449,3524.55800609328,9864.171293034102,2392.1542183931274,0.40506373388991784,0.3452935350960727,0.7758385864897537,0.3256579079827971,181.92377570403409,163.73139813363068
10.0,23414.40671272058,1.4213456228839756,60.520413976572435,9668.476415240566,3014.3272208164117,8701.628773716506,2029.9743029470856,0.3222846024844709,0.254798596260298,0.6034466866240935,0.2408157375151125,87.52638172633904,78.77374355370515
11.0,29245.593607855175,1.9576605068928628,66.21057782489356,11755.349167435788,4086.0140368190973,10623.36539413911,2780.865009461174,0.39955683517375934,0.3782537477034657,0.7896547680510301,0.3901951559646071,430.3148358372,343.732208806577
12.0,52385.09734389008,3.6188895664214407,68.44985668160666,17792.45859322858,10582.80246804521,16530.731521862417,7479.104760753855,0.6472864457750127,0.8103793295489876,1.2046793394041042,0.9565444516933364,4034.665300058949,3113.6799820963515
