Date,Year,Day,Month,WaterYear,WaterMonth,MonthId,WaterDay,WaterWeek,CC_Factor,SampleDate,SampleFlow,Impact_2070,Flow,EWRRefExceedance
2017-10-01,2017,1,10,2017,1,2017.1,1,1.0,0.3375,1938-10-01,231.43340615217082,-0.243919665,212.38114002394516,0.5
2017-10-02,2017,2,10,2017,1,2017.1,2,1.0,0.3375,1938-10-02,231.43340615217082,-0.243919665,212.38114002394516,0.5
2017-10-03,2017,3,10,2017,1,2017.1,3,1.0,0.3375,1938-10-03,229.3650854576809,-0.243919665,210.48308946013822,0.5
2017-10-04,2017,4,10,2017,1,2017.1,4,1.0,0.3375,1938-10-04,228.5473327785961,-0.243919665,209.73265654239654,0.5
2017-10-05,2017,5,10,2017,1,2017.1,5,1.0,0.3375,1938-10-05,226.3790707324809,-0.243919665,207.74289208755454,0.5
2017-10-06,2017,6,10,2017,1,2017.1,6,1.0,0.3375,1938-10-06,226.3790707324809,-0.243919665,207.74289208755454,0.5
2017-10-07,2017,7,10,2017,1,2017.1,7,1.0,0.3375,1938-10-07,226.3790707324809,-0.243919665,207.74289208755454,0.5
2017-10-08,2017,8,10,2017,1,2017.1,8,2.0,0.3375,1938-10-08,224.67104686473823,-0.243919665,206.17547767556263,0.5
2017-10-09,2017,9,10,2017,1,2017.1,9,2.0,0.3375,1938-10-09,224.67104686473823,-0.243919665,206.17547767556263,0.5
2017-10-10,2017,10,10,2017,1,2017.1,10,2.0,0.3375,1938-10-10,224.67104686473823,-0.243919665,206.17547767556263,0.5
2017-10-11,2017,11,10,2017,1,2017.1,11,2.0,0.3375,1938-10-11,222.2828362851385,-0.243919665,203.98387148549025,0.6900000000000001
2017-10-12,2017,12,10,2017,1,2017.1,12,2.0,0.3375,1938-10-12,220.53049583159046,-0.243919665,202.3757887569756,0.6900000000000001
2017-10-13,2017,13,10,2017,1,2017.1,13,2.0,0.3375,1938-10-13,220.53049583159046,-0.243919665,202.3757887569756,0.6900000000000001
2017-10-14,2017,14,10,2017,1,2017.1,14,2.0,0.3375,1938-10-14,222.2828362851385,-0.243919665,203.98387148549025,0.6900000000000001
2017-10-15,2017,15,10,2017,1,2017.1,15,3.0,0.3375,1938-10-15,224.67104686473823,-0.243919665,206.17547767556263,0.6900000000000001
2017-10-16,2017,16,10,2017,1,2017.1,16,3.0,0.3375,1938-10-16,224.67104686473823,-0.243919665,206.17547767556263,0.6900000000000001
2017-10-17,2017,17,10,2017,1,2017.1,17,3.0,0.3375,1938-10-17,226.3790707324809,-0.243919665,207.74289208755454,0.6900000000000001
2017-10-18,2017,18,10,2017,1,2017.1,18,3.0,0.3375,1938-10-18,226.3790707324809,-0.243919665,207.74289208755454,0.6900000000000001
2017-10-19,2017,19,10,2017,1,2017.1,19,3.0,0.3375,1938-10-19,226.3790707324809,-0.243919665,207.74289208755454,0.6900000000000001
2017-10-20,2017,20,10,2017,1,2017.1,20,3.0,0.3375,1938-10-20,226.3790707324809,-0.243919665,207.74289208755454,0.6900000000000001
2017-10-21,2017,21,10,2017,1,2017.1,21,3.0,0.3375,1938-10-21,224.67104686473823,-0.243919665,206.17547767556263,0.6
2017-10-22,2017,22,10,2017,1,2017.1,22,4.0,0.3375,1938-10-22,222.2828362851385,-0.243919665,203.98387148549025,0.6
2017-10-23,2017,23,10,2017,1,2017.1,23,4.0,0.3375,1938-10-23,220.53049583159046,-0.243919665,202.3757887569756,0.6
2017-10-24,2017,24,10,2017,1,2017.1,24,4.0,0.3375,1938-10-24,220.53049583159046,-0.243919665,202.3757887569756,0.6
2017-10-25,2017,25,10,2017,1,2017.1,25,4.0,0.3375,1938-10-25,220.53049583159046,-0.243919665,202.3757887569756,0.6
2017-10-26,2017,26,10,2017,1,2017.1,26,4.0,0.3375,1938-10-26,220.53049583159046,-0.243919665,202.3757887569756,0.6
2017-10-27,2017,27,10,2017,1,2017.1,27,4.0,0.3375,1938-10-27,220.53049583159046,-0.243919665,202.3757887569756,0.6
2017-10-28,2017,28,10,2017,1,2017.1,28,4.0,0.3375,1938-10-28,222.2828362851385,-0.243919665,203.98387148549025,0.6
2017-10-29,2017,29,10,2017,1,2017.1,29,5.0,0.3375,1938-10-29,224.67104686473823,-0.243919665,206.17547767556263,0.6
2017-10-30,2017,30,10,2017,1,2017.1,30,5.0,0.3375,1938-10-30,224.67104686473823,-0.243919665,206.17547767556263,0.6
2017-10-31,2017,31,10,2017,1,2017.1,31,5.0,0.3375,1938-10-31,226.3790707324809,-0.243919665,207.74289208755454,0.6
2017-11-01,2017,1,11,2017,2,2017.11,32,5.0,0.3375,1938-11-01,231.43340615217082,-0.296010551,208.3123847518884,0.66
2017-11-02,2017,2,11,2017,2,2017.11,33,5.0,0.3375,1938-11-02,234.76788002600708,-0.296010551,211.313732811792,0.66
2017-11-03,2017,3,11,2017,2,2017.11,34,5.0,0.3375,1938-11-03,234.76788002600708,-0.296010551,211.313732811792,0.66
2017-11-04,2017,4,11,2017,2,2017.11,35,5.0,0.3375,1938-11-04,234.76788002600708,-0.296010551,211.313732811792,0.66
2017-11-05,2017,5,11,2017,2,2017.11,36,6.0,0.3375,1938-11-05,236.19433422910615,-0.296010551,212.59767916045155,0.66
2017-11-06,2017,6,11,2017,2,2017.11,37,6.0,0.3375,1938-11-06,236.19433422910615,-0.296010551,212.59767916045155,0.66
2017-11-07,2017,7,11,2017,2,2017.11,38,6.0,0.3375,1938-11-07,239.64129376144416,-0.296010551,215.70027516101536,0.66
2017-11-08,2017,8,11,2017,2,2017.11,39,6.0,0.3375,1938-11-08,243.27968621428658,-0.296010551,218.9751792516397,0.66
2017-11-09,2017,9,11,2017,2,2017.11,40,6.0,0.3375,1938-11-09,243.27968621428658,-0.296010551,218.9751792516397,0.66
2017-11-10,2017,10,11,2017,2,2017.11,41,6.0,0.3375,1938-11-10,243.27968621428658,-0.296010551,218.9751792516397,0.66
2017-11-11,2017,11,11,2017,2,2017.11,42,6.0,0.3375,1938-11-11,246.1954239432886,-0.296010551,221.59962439868173,0.6
2017-11-12,2017,12,11,2017,2,2017.11,43,7.0,0.3375,1938-11-12,258.7976520087449,-0.296010551,232.94284500433739,0.6
2017-11-13,2017,13,11,2017,2,2017.11,44,7.0,0.3375,1938-11-13,258.7976520087449,-0.296010551,232.94284500433739,0.6
2017-11-14,2017,14,11,2017,2,2017.11,45,7.0,0.3375,1938-11-14,258.7976520087449,-0.296010551,232.94284500433739,0.6
2017-11-15,2017,15,11,2017,2,2017.11,46,7.0,0.3375,1938-11-15,258.7976520087449,-0.296010551,232.94284500433739,0.6
2017-11-16,2017,16,11,2017,2,2017.11,47,7.0,0.3375,1938-11-16,258.7976520087449,-0.296010551,232.94284500433739,0.6
2017-11-17,2017,17,11,2017,2,2017.11,48,7.0,0.3375,1938-11-17,258.7976520087449,-0.296010551,232.94284500433739,0.6
2017-11-18,2017,18,11,2017,2,2017.11,49,7.0,0.3375,1938-11-18,258.7976520087449,-0.296010551,232.94284500433739,0.6
2017-11-19,2017,19,11,2017,2,2017.11,50,8.0,0.3375,1938-11-19,258.7976520087449,-0.296010551,232.94284500433739,0.6
2017-11-20,2017,20,11,2017,2,2017.11,51,8.0,0.3375,1938-11-20,299.18021087320443,-0.296010551,269.2910424374597,0.6
2017-11-21,2017,21,11,2017,2,2017.11,52,8.0,0.3375,1938-11-21,306.020121877383,-0.296010551,275.44762197565416,0.63
2017-11-22,2017,22,11,2017,2,2017.11,53,8.0,0.3375,1938-11-22,325.6607962357874,-0.296010551,293.1261230259492,0.63
2017-11-23,2017,23,11,2017,2,2017.11,54,8.0,0.3375,1938-11-23,325.6607962357874,-0.296010551,293.1261230259492,0.63
2017-11-24,2017,24,11,2017,2,2017.11,55,8.0,0.3375,1938-11-24,325.6607962357874,-0.296010551,293.1261230259492,0.63
2017-11-25,2017,25,11,2017,2,2017.11,56,8.0,0.3375,1938-11-25,325.6607962357874,-0.296010551,293.1261230259492,0.63
2017-11-26,2017,26,11,2017,2,2017.11,57,9.0,0.3375,1938-11-26,325.6607962357874,-0.296010551,293.1261230259492,0.63
2017-11-27,2017,27,11,2017,2,2017.11,58,9.0,0.3375,1938-11-27,325.6607962357874,-0.296010551,293.1261230259492,0.63
2017-11-28,2017,28,11,2017,2,2017.11,59,9.0,0.3375,1938-11-28,323.62655383883583,-0.296010551,291.29510868831386,0.63
