Date,LaggedDate,VicFalls,Conversion,Flow,Exceedance,Year,Month,Day,MonthId,WaterYear,WaterMonth,WaterDay,WaterWeek,Volume,Flow_difference,Flow_difference_pct,EWRRefExceedance,EWRBandNo,EWRBandLabel,EWRChannelA,EWRChannelC,EWRChannelD,EWRChannelE,EWRChannelFG,EWRTotal,EWRProportion,FlowAvailableForGeneration,FlowCanal,LowFlowShutoff,Turbines,FlowTurbine1,FlowTurbine2,FlowTurbine3,FlowTurbine4,FlowSpill,SpillChannelA,SpillChannelC,SpillChannelD,SpillChannelE,SpillChannelFG,FlowChannelA,FlowChannelC,FlowChannelD,FlowChannelE,FlowChannelFG,FlowLeftChannel,LevelTailwater,LevelHeadpond,HeadlossLeftChannel,HeadlossCanal,LevelForebay,HeadlossTurbine1,HeadlossTurbine2,HeadlossTurbine3,HeadlossTurbine4,HeadTurbine1,HeadTurbine2,HeadTurbine3,HeadTurbine4,LowHeadShutoff,LoadFactorTurbine1,LoadFactorTurbine2,LoadFactorTurbine3,LoadFactorTurbine4,EffTurbine1,EffTurbine2,EffTurbine3,EffTurbine4,EffGen1,EffGen2,EffGen3,EffGen4,PowerTurbine1,PowerTurbine2,PowerTurbine3,PowerTurbine4,Power,Energy,PerfMwPerCumec,PotentialPower1u,PotentialPower2u,PotentialPower3u,PotentialPower4u
1924-10-15,1924-10-26,100.0,1.3840948658747785,138.40948658747786,0.998,1924,10,15,1924.1,1924,1,15,3,0.011958579641158087,0.0,0.0,0.99,5,Dry,24,4,2,2,20,52.0,0.37569679132603995,86.40948658747786,86.40948658747786,,1,86.40948658747786,,,,0.0,0.0,0.0,0.0,0.0,0.0,24.0,4.0,2.0,2.0,20.0,116.40948658747786,964.5,990.5,0.07957141588209472,0.0,990.420428584118,0.052264782765064084,,,,25.86816380135281,,,,,0.3456379463499114,,,,0.87,,,,0.96,,,,18.314139591104237,,,,18.314139591104237,439.5393501865017,0.13231852846682798,58.12020084797224,115.84200777516148,172.66761047532958,227.1741654379741
1924-11-15,1924-11-26,132.6503,1.0736855385370776,142.42470879260492,0.997,1924,11,15,1924.11,1924,2,46,7,0.012305494839681064,0.0,0.0,0.99,5,Dry,23,4,2,2,19,50.0,0.3510626802320423,92.42470879260492,92.42470879260492,,1,92.42470879260492,,,,0.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,2.0,2.0,19.0,121.42470879260492,964.5,990.5,0.08128115072475167,0.0,990.4187188492753,0.059950288121416076,,,,25.858768561153838,,,,,0.3696988351704197,,,,0.88,,,,0.96,,,,19.80700643390524,,,,19.80700643390524,475.3681544137257,0.13907001532120156,58.12020084797224,115.84200777516148,172.66761047532958,227.1741654379741
1924-12-15,1924-12-26,282.5805,0.9427410225826262,266.40022953190976,0.8440000000000001,1924,12,15,1924.12,1924,3,76,11,0.02301697983155701,3.0142327916889826,0.01131467790769277,0.93,5,Dry,26,4,3,2,24,59.0,0.2214712806504279,207.40022953190976,207.40022953190976,,1,207.40022953190976,,,,0.0,0.0,0.0,0.0,0.0,0.0,26.0,4.0,3.0,2.0,24.0,240.40022953190976,964.7656009181276,990.5,0.12179343416188886,0.011480045906381952,990.3667265199316,0.3045067926828001,,,,25.29661880912123,,,,,0.829600918127639,,,,0.94,,,,0.97,,,,46.928892417489635,,,,46.928892417489635,1126.293418019751,0.17615935429165394,57.84169574836378,115.25469155524078,171.7106884076074,225.71691938548676
1925-01-15,1925-01-26,678.6565,0.8882731187136144,602.832325790266,0.487,1925,1,15,1925.01,1924,4,107,16,0.05208471294827899,23.31138958641043,0.038669773648669255,0.63,3,Normal,41,6,4,3,66,120.0,0.19906032716923294,482.83232579026605,482.83232579026605,,2,241.41616289513303,241.41616289513303,,,0.0,0.0,0.0,0.0,0.0,0.0,41.0,6.0,4.0,3.0,66.0,533.832325790266,966.3113293031613,990.5,0.2261346816175455,0.06656646515805321,990.2072988532243,0.4124376850092517,0.4124376850092517,,,23.483531865054086,23.483531865054086,,,,0.9656646515805322,0.9656646515805322,,,0.94,0.94,,,0.98,0.98,,,51.233342899967404,51.233342899967404,,,102.4666857999348,2459.2004591984355,0.16997543332735018,55.82030665390453,111.04832971773148,164.99188124773525,215.78437310965734
1925-02-15,1925-02-26,1247.589,0.9303667296750662,1160.715297908586,0.28800000000000003,1925,2,15,1925.02,1924,5,138,20,0.10028580173930184,0.0,0.0,0.24,2,Mod_Wet,49,8,7,5,93,162.0,0.13956910905878192,998.715297908586,998.715297908586,,4,249.67882447714646,249.67882447714646,249.67882447714646,249.67882447714646,0.0,0.0,0.0,0.0,0.0,0.0,49.0,8.0,7.0,5.0,93.0,1062.715297908586,968.4051052219985,990.5,0.6428880588371345,0.3489722383268689,989.508139702836,0.4411070286867352,0.4411070286867352,0.4411070286867352,0.4411070286867352,20.66192745215093,20.66192745215093,20.66192745215093,20.66192745215093,,0.9987152979085859,0.9987152979085859,0.9987152979085859,0.9987152979085859,0.94,0.94,0.94,0.94,0.98,0.98,0.98,0.98,46.62034466451927,46.62034466451927,46.62034466451927,46.62034466451927,186.4813786580771,4475.55308779385,0.16066073997136526,52.109937430670854,103.44082061627823,153.1153404199453,198.8506842755244
1925-03-15,1925-03-26,1547.2067,0.952015772450731,1472.9651816414466,0.235,1925,3,15,1925.03,1924,6,166,24,0.12726419169382094,35.03594974473617,0.02378599995533684,0.63,3,Normal,49,9,9,9,107,183.0,0.1242391892767404,1289.9651816414466,1100.0,,4,275.0,275.0,275.0,275.0,189.9651816414466,50.86499399142561,9.0,9.342549916792457,9.342549916792457,111.41508781643611,99.86499399142559,18.0,18.342549916792454,18.342549916792454,218.41508781643608,1236.207543908218,969.3972721253032,990.5,0.9041509348412275,0.48,989.1158490651587,0.5349347799999999,0.5349347799999999,0.5349347799999999,0.5349347799999999,19.18364215985555,19.18364215985555,19.18364215985555,19.18364215985555,,1.1,1.1,1.1,1.1,0.9318575922557576,0.9318575922557576,0.9318575922557576,0.9318575922557576,0.98,0.98,0.98,0.98,47.26159667132005,47.26159667132005,47.26159667132005,47.26159667132005,189.0463866852802,4537.113280446725,0.1283440973632589,50.01737534517165,99.18117695322368,146.54118653850412,189.65356648586732
1925-04-15,1925-04-26,2938.9259,1.0243542087195967,3010.501114780029,0.08800000000000001,1925,4,15,1925.04,1924,7,197,29,0.2601072963169945,0.0,0.0,0.43,3,Normal,54,13,14,19,117,217.0,0.07208102296811662,2793.501114780029,1100.0,,4,275.0,275.0,275.0,275.0,1693.5011147800292,46.0,5.0,11.0,61.0,1570.501114780029,100.0,18.0,25.0,80.0,1687.501114780029,1243.0,973.5391406218828,990.5,0.9219672131147539,0.48,989.0980327868853,0.5349347799999999,0.5349347799999999,0.5349347799999999,0.5349347799999999,15.023957385002475,15.023957385002475,15.023957385002475,15.023957385002475,,1.1,1.1,1.1,1.1,0.9102746489930844,0.9102746489930844,0.9102746489930844,0.9102746489930844,0.98,0.98,0.98,0.98,36.15634883771307,36.15634883771307,36.15634883771307,36.15634883771307,144.62539535085227,3471.0094884204545,0.048040306193814435,39.568835968602784,78.07015278744424,114.35226581110642,145.55064742942008
1925-05-15,1925-05-26,2193.1616,1.003385573007351,2200.5867087137194,0.156,1925,5,15,1925.05,1924,8,227,33,0.19013069163286536,52.36271792322078,0.023794889660961226,0.45,3,Normal,55,13,13,17,178,276.0,0.1254210974314785,1924.5867087137194,1100.0,,4,275.0,275.0,275.0,275.0,824.5867087137193,45.0,5.0,12.0,50.78976104396097,711.7969476697584,100.0,18.0,25.0,67.78976104396097,889.7969476697584,1243.0,971.5841748141363,990.5,0.9219672131147539,0.48,989.0980327868853,0.5349347799999999,0.5349347799999999,0.5349347799999999,0.5349347799999999,16.978923192748727,16.978923192748727,16.978923192748727,16.978923192748727,,1.1,1.1,1.1,1.1,0.926883411212412,0.926883411212412,0.926883411212412,0.926883411212412,0.98,0.98,0.98,0.98,41.606676878816046,41.606676878816046,41.606676878816046,41.606676878816046,166.42670751526418,3994.240980366341,0.07562833441475407,44.791037737719094,88.59600936948318,130.33763586301296,167.2993898129076
1925-06-15,1925-06-26,1247.589,0.9303667296750662,1160.715297908586,0.28800000000000003,1925,6,15,1925.06,1924,9,258,37,0.10028580173930184,33.64268566846317,0.028984442377111463,0.55,3,Normal,53,12,12,13,120,210.0,0.18092291915027287,950.715297908586,950.715297908586,,4,237.67882447714646,237.67882447714646,237.67882447714646,237.67882447714646,0.0,0.0,0.0,0.0,0.0,0.0,53.0,12.0,12.0,13.0,120.0,1027.715297908586,968.4051052219985,990.5,0.5951574442987044,0.3105722383268689,989.5942703173744,0.3997849003388256,0.3997849003388256,0.3997849003388256,0.3997849003388256,20.78938019503727,20.78938019503727,20.78938019503727,20.78938019503727,,0.950715297908586,0.950715297908586,0.950715297908586,0.950715297908586,0.94,0.94,0.94,0.94,0.98,0.98,0.98,0.98,44.653444895327375,44.653444895327375,44.653444895327375,44.653444895327375,178.6137795813095,4286.730709951428,0.15388250667768533,52.109937430670854,103.44082061627823,153.1153404199453,198.8506842755244
1925-07-15,1925-07-26,564.6867,0.8934466484158033,504.51743951998014,0.551,1925,7,15,1925.07,1924,10,288,42,0.043590306774526286,18.901365782587053,0.037464246628561806,0.51,3,Normal,50,10,9,9,108,186.0,0.3686691191031345,318.51743951998014,318.51743951998014,,2,159.2587197599901,159.2587197599901,,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,10.0,9.0,9.0,108.0,387.51743951998014,965.8703284778398,990.5,0.1706515481800672,0.03370348790399603,990.2956449639161,0.17952152463538654,0.17952152463538654,,,24.245794961440712,24.245794961440712,,,,0.6370348790399603,0.6370348790399603,,,0.92,0.92,,,0.97,0.97,,,33.804009678174026,33.804009678174026,,,67.60801935634805,1622.5924645523532,0.1340053168839382,56.46406346767165,112.3802889273935,167.10088924415956,218.8601667518893
