WaterMonth,MonthName,Month,Flow_min,Flow_mean,Flow_median,Flow_max,Flow_std,Flow_coefvar,Flow_P95,Flow_P90,Flow_P75,Flow_P50,Flow_P25,Flow_P10,Flow_P05
1,Oct,10,105,238.68713146028443,227,470,60.0913594085256,25.2,165.89032258064515,174.1032258064516,198.70967741935485,228.61290322580646,274.4193548387097,308.458064516129,342.85806451612893
2,Nov,11,103,275.9179211469534,262,648,80.76713181677582,29.3,177.35333333333332,200.36666666666667,220.8,265.46666666666664,310.23333333333335,375.8666666666667,410.0333333333333
3,Dec,12,189,432.3087062088103,409,1128,138.4019847630614,32.0,289.73548387096776,307.8709677419355,346.7096774193548,402.3225806451613,504.35483870967744,563.7096774193548,686.8516129032257
4,Jan,1,271,719.188692334374,630,3886,346.20343435147464,48.1,435.9612903225807,478.68387096774194,544.0645161290323,620.6129032258065,811.9354838709677,998.4774193548386,1316.0129032258055
5,Feb,2,389,1347.2950133231823,971,9912,1164.3410804829396,86.4,627.4571428571428,691.4017241379311,809.2758620689655,987.5,1419.607142857143,2480.1389162561572,3201.0285714285696
6,Mar,3,512,2530.635102323968,2169,9530,1655.915743862876,65.4,850.516129032258,912.8129032258065,1185.516129032258,2339.7096774193546,3122.6774193548385,4347.703225806452,5638.677419354837
7,Apr,4,685,2965.058064516129,2960,8540,1354.223410045272,45.7,1084.02,1258.2333333333333,1925.3,2959.633333333333,3698.0666666666666,4655.12,5104.733333333332
8,May,5,421,2219.3891779396463,2155,5673,924.202051936926,41.6,877.3548387096776,1129.574193548387,1685.032258064516,2236.2903225806454,2674.3225806451615,3218.3612903225808,3622.9483870967724
9,Jun,6,271,1202.7379928315413,1128,3920,551.376924849633,45.8,450.42,631.8866666666667,855.5,1178.3666666666666,1467.2666666666667,1814.1799999999998,1973.573333333332
10,Jul,7,222,589.2913631633714,533,1872,236.55716999396296,40.1,327.35483870967744,370.18709677419355,449.5483870967742,543.1290322580645,690.2903225806451,848.632258064516,981.4322580645156
11,Aug,8,177,384.98647242455775,370,905,103.64893047440829,26.9,251.01935483870966,281.5548387096774,316.741935483871,370.19354838709677,441.80645161290323,515.0709677419355,542.4903225806452
12,Sep,9,133,287.56236559139785,274,551,70.8630873005587,24.6,198.40666666666667,215.0666666666667,239.96666666666667,277.8666666666667,327.43333333333334,374.64666666666665,409.56
